STATIONS_ID;MESS_DATUM;QN_8;  R1;RS_IND;WRTR;eor
       3448;2017050500;    3;   0.1;   1;-999;eor
       3448;2017050501;    3;   0.1;   1;-999;eor
       3448;2017050502;    3;   0.0;   0;-999;eor
       3448;2017050503;    3;   0.0;   0;-999;eor
       3448;2017050504;    3;   0.0;   0;-999;eor
       3448;2017050505;    3;   0.0;   0;-999;eor
       3448;2017050506;    3;   0.0;   0;-999;eor
       3448;2017050507;    3;   0.0;   0;-999;eor
       3448;2017050508;    3;   0.0;   0;-999;eor
       3448;2017050509;    3;   0.0;   0;-999;eor
       3448;2017050510;    3;   0.0;   0;-999;eor
       3448;2017050511;    3;   0.0;   0;-999;eor
       3448;2017050512;    3;   0.0;   0;-999;eor
       3448;2017050513;    3;   0.0;   0;-999;eor
       3448;2017050514;    3;   0.0;   0;-999;eor
       3448;2017050515;    3;   0.0;   0;-999;eor
       3448;2017050516;    3;   0.0;   0;-999;eor
       3448;2017050517;    3;   0.0;   0;-999;eor
       3448;2017050518;    3;   0.0;   0;-999;eor
       3448;2017050519;    3;   0.0;   0;-999;eor
       3448;2017050520;    3;   0.0;   0;-999;eor
       3448;2017050521;    3;   0.0;   0;-999;eor
       3448;2017050522;    3;   0.0;   0;-999;eor
       3448;2017050523;    3;   0.0;   0;-999;eor
       3448;2017050600;    3;   0.0;   0;-999;eor
       3448;2017050601;    3;   0.0;   0;-999;eor
       3448;2017050602;    3;   0.0;   0;-999;eor
       3448;2017050603;    3;   0.0;   0;-999;eor
       3448;2017050604;    3;   0.0;   0;-999;eor
       3448;2017050605;    3;   0.0;   0;-999;eor
       3448;2017050606;    3;   0.0;   0;-999;eor
       3448;2017050607;    3;   0.0;   0;-999;eor
       3448;2017050608;    3;   0.0;   0;-999;eor
       3448;2017050609;    3;   0.0;   0;-999;eor
       3448;2017050610;    3;   0.0;   0;-999;eor
       3448;2017050611;    3;   0.0;   0;-999;eor
       3448;2017050612;    3;   0.0;   0;-999;eor
       3448;2017050613;    3;   0.0;   0;-999;eor
       3448;2017050614;    3;   0.0;   0;-999;eor
       3448;2017050615;    3;   0.0;   0;-999;eor
       3448;2017050616;    3;   0.0;   0;-999;eor
       3448;2017050617;    3;   0.0;   0;-999;eor
       3448;2017050618;    3;   0.0;   0;-999;eor
       3448;2017050619;    3;   0.0;   0;-999;eor
       3448;2017050620;    3;   0.0;   0;-999;eor
       3448;2017050621;    3;   0.0;   0;-999;eor
       3448;2017050622;    3;   0.2;   1;-999;eor
       3448;2017050623;    3;   0.1;   1;-999;eor
       3448;2017050700;    3;   0.2;   1;-999;eor
       3448;2017050701;    3;   0.1;   1;-999;eor
       3448;2017050702;    3;   0.0;   0;-999;eor
       3448;2017050703;    3;   0.0;   1;-999;eor
       3448;2017050704;    3;   0.1;   1;-999;eor
       3448;2017050705;    3;   0.0;   0;-999;eor
       3448;2017050706;    3;   0.0;   0;-999;eor
       3448;2017050707;    3;   0.0;   0;-999;eor
       3448;2017050708;    3;   0.0;   0;-999;eor
       3448;2017050709;    3;   0.0;   0;-999;eor
       3448;2017050710;    3;   0.0;   0;-999;eor
       3448;2017050711;    3;   0.0;   0;-999;eor
       3448;2017050712;    3;   0.4;   1;-999;eor
       3448;2017050713;    3;   0.3;   1;-999;eor
       3448;2017050714;    3;   0.0;   0;-999;eor
       3448;2017050715;    3;   1.3;   1;-999;eor
       3448;2017050716;    3;   0.5;   1;-999;eor
       3448;2017050717;    3;   0.9;   1;-999;eor
       3448;2017050718;    3;   0.9;   1;-999;eor
       3448;2017050719;    3;   2.2;   1;-999;eor
       3448;2017050720;    3;   1.0;   1;-999;eor
       3448;2017050721;    3;   2.9;   1;-999;eor
       3448;2017050722;    3;   0.4;   1;-999;eor
       3448;2017050723;    3;   1.0;   1;-999;eor
       3448;2017050800;    3;   1.4;   1;-999;eor
       3448;2017050801;    3;   2.5;   1;-999;eor
       3448;2017050802;    3;   0.6;   1;-999;eor
       3448;2017050803;    3;   0.6;   1;-999;eor
       3448;2017050804;    3;   0.4;   1;-999;eor
       3448;2017050805;    3;   0.1;   1;-999;eor
       3448;2017050806;    3;   0.1;   1;-999;eor
       3448;2017050807;    3;   0.1;   1;-999;eor
